Rk,Player,Year,Age,Draft,Tm,Lg,G,GS,Att,Yds,Y/A,TD,Y/G
107,Marshawn Lynch\LyncMa00,2013,27,1-12,SEA,NFL,16,16,301,1257,4.18,12,78.6
108,Michael Turner\TurnMi00,2011,29,5-154,ATL,NFL,16,15,301,1340,4.45,11,83.8
109,LeGarrette Blount\BlouLe00,2016,30,,NWE,NFL,16,8,299,1161,3.88,18,72.6
110,Maurice Jones-Drew\DrewMa00,2010,25,2-60,JAX,NFL,14,14,299,1324,4.43,5,94.6
111,Jamal Lewis\LewiJa00,2007,28,1-5,CLE,NFL,15,15,298,1304,4.38,9,86.9
112,Mike Anderson\AndeMi00,2000,27,6-189,DEN,NFL,16,12,297,1487,5.01,15,92.9
113,Thomas Jones\JoneTh00,2006,28,1-7,CHI,NFL,16,16,296,1210,4.09,6,75.6
114,Shaun Alexander\AlexSh00,2002,25,1-19,SEA,NFL,16,16,295,1175,3.98,16,73.4
115,Robert Smith\SmitRo00,2000,28,1-21,MIN,NFL,16,16,295,1521,5.16,7,95.1
116,Willis McGahee\McGaWi00,2007,26,1-23,BAL,NFL,15,15,294,1207,4.11,7,80.5
117,Emmitt Smith*\SmitEm00,2000,31,1-17,DAL,NFL,16,16,294,1203,4.09,9,75.2
118,David Johnson\JohnDa08,2016,25,3-86,ARI,NFL,16,16,293,1239,4.23,16,77.4
119,DeMarco Murray\MurrDe00,2016,28,3-71,TEN,NFL,16,16,293,1287,4.39,9,80.4
120,Fred Taylor\TaylFr00,2000,24,1-9,JAX,NFL,13,13,292,1399,4.79,12,107.6
121,LaDainian Tomlinson*\TomlLa00,2008,29,1-5,SDG,NFL,16,16,292,1110,3.80,11,69.4
122,Ray Rice\RiceRa00,2011,24,2-55,BAL,NFL,16,16,291,1364,4.69,12,85.3
123,James Allen\AlleJa00,2000,25,,CHI,NFL,16,15,290,1120,3.86,2,70.0
124,Le'Veon Bell\BellLe00,2014,22,2-48,PIT,NFL,16,16,290,1361,4.69,8,85.1
125,Thomas Jones\JoneTh00,2008,30,1-7,NYJ,NFL,16,14,290,1312,4.52,13,82.0
126,Clinton Portis\PortCl00,2003,22,2-51,DEN,NFL,13,13,290,1591,5.49,14,122.4
127,Stevan Ridley\RidlSt00,2012,23,3-73,NWE,NFL,16,12,290,1263,4.36,12,78.9
128,Cadillac Williams\WillCa02,2005,23,1-5,TAM,NFL,14,14,290,1178,4.06,6,84.1
129,Matt Forte\FortMa00,2013,28,2-44,CHI,NFL,16,16,289,1339,4.63,9,83.7
130,Doug Martin\MartDo00,2015,26,1-31,TAM,NFL,16,16,288,1402,4.87,6,87.6
131,LeSean McCoy\McCoLe01,2017,29,2-53,BUF,NFL,16,16,287,1138,3.97,6,71.1
132,Antowain Smith\SmitAn00,2001,29,1-23,NWE,NFL,16,15,287,1157,4.03,12,72.3
